Add:         0210083 Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach
Revise from: 02114J9 Bypass Coronary Artery, Two Sites from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise to:   02114J9 Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise from: 02114JC Bypass Coronary Artery, Two Sites from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise to:   02114JC Bypass Coronary Artery, Two Arteries from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise from: 02114JF Bypass Coronary Artery, Two Sites from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise to:   02114JF Bypass Coronary Artery, Two Arteries from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise from: 02114JW Bypass Coronary Artery, Two Sites from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise to:   02114JW Bypass Coronary Artery, Two Arteries from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach
Revise from: 02114K3 Bypass Coronary Artery, Two Sites from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise to:   02114K3 Bypass Coronary Artery, Two Arteries from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise from: 02114K8 Bypass Coronary Artery, Two Sites from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise to:   02114K8 Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise from: 02114K9 Bypass Coronary Artery, Two Sites from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise to:   02114K9 Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise from: 02114KC Bypass Coronary Artery, Two Sites from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise to:   02114KC Bypass Coronary Artery, Two Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise from: 02114KF Bypass Coronary Artery, Two Sites from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise to:   02114KF Bypass Coronary Artery, Two Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise from: 02114KW Bypass Coronary Artery, Two Sites from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise to:   02114KW Bypass Coronary Artery, Two Arteries from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Revise from: 02114Z3 Bypass Coronary Artery, Two Sites from Coronary Artery, Percutaneous Endoscopic Approach
Revise to:   02114Z3 Bypass Coronary Artery, Two Arteries from Coronary Artery, Percutaneous Endoscopic Approach
Revise from: 02114Z8 Bypass Coronary Artery, Two Sites from Right Internal Mammary, Percutaneous Endoscopic Approach
Revise to:   02114Z8 Bypass Coronary Artery, Two Arteries from Right Internal Mammary, Percutaneous Endoscopic Approach
Revise from: 02114Z9 Bypass Coronary Artery, Two Sites from Left Internal Mammary, Percutaneous Endoscopic Approach
Revise to:   02114Z9 Bypass Coronary Artery, Two Arteries from Left Internal Mammary, Percutaneous Endoscopic Approach
Revise from: 02114ZC Bypass Coronary Artery, Two Sites from Thoracic Artery, Percutaneous Endoscopic Approach
Revise to:   02114ZC Bypass Coronary Artery, Two Arteries from Thoracic Artery, Percutaneous Endoscopic Approach
Revise from: 02114ZF Bypass Coronary Artery, Two Sites from Abdominal Artery, Percutaneous Endoscopic Approach
Revise to:   02114ZF Bypass Coronary Artery, Two Arteries from Abdominal Artery, Percutaneous Endoscopic Approach
Add:         0212083 Bypass Coronary Artery, Three Arteries from Coronary Artery with Zooplastic Tissue, Open Approach
Add:         0212088 Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Zooplastic Tissue, Open Approach
Add:         0212089 Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Zooplastic Tissue, Open Approach
Add:         021208C Bypass Coronary Artery, Three Arteries from Thoracic Artery with Zooplastic Tissue, Open Approach
Add:         021208F Bypass Coronary Artery, Three Arteries from Abdominal Artery with Zooplastic Tissue, Open Approach
Add:         021208W Bypass Coronary Artery, Three Arteries from Aorta with Zooplastic Tissue, Open Approach
Revise from: 0212093 Bypass Coronary Artery, Three Sites from Coronary Artery with Autologous Venous Tissue, Open Approach
Revise to:   0212093 Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach
Revise from: 0212098 Bypass Coronary Artery, Three Sites from Right Internal Mammary with Autologous Venous Tissue, Open Approach
Revise to:   0212098 Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Autologous Venous Tissue, Open Approach
Revise from: 0212099 Bypass Coronary Artery, Three Sites from Left Internal Mammary with Autologous Venous Tissue, Open Approach
Revise to:   0212099 Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Autologous Venous Tissue, Open Approach
Revise from: 021209C Bypass Coronary Artery, Three Sites from Thoracic Artery with Autologous Venous Tissue, Open Approach
Revise to:   021209C Bypass Coronary Artery, Three Arteries from Thoracic Artery with Autologous Venous Tissue, Open Approach
Revise from: 021209F Bypass Coronary Artery, Three Sites from Abdominal Artery with Autologous Venous Tissue, Open Approach
Revise to:   021209F Bypass Coronary Artery, Three Arteries from Abdominal Artery with Autologous Venous Tissue, Open Approach
Revise from: 021209W Bypass Coronary Artery, Three Sites from Aorta with Autologous Venous Tissue, Open Approach
Revise to:   021209W Bypass Coronary Artery, Three Arteries from Aorta with Autologous Venous Tissue, Open Approach
Revise from: 02120A3 Bypass Coronary Artery, Three Sites from Coronary Artery with Autologous Arterial Tissue, Open Approach
Revise to:   02120A3 Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Arterial Tissue, Open Approach
Revise from: 02120A8 Bypass Coronary Artery, Three Sites from Right Internal Mammary with Autologous Arterial Tissue, Open Approach
Revise to:   02120A8 Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Autologous Arterial Tissue, Open Approach
Revise from: 02120A9 Bypass Coronary Artery, Three Sites from Left Internal Mammary with Autologous Arterial Tissue, Open Approach
Revise to:   02120A9 Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Autologous Arterial Tissue, Open Approach
Revise from: 02120AC Bypass Coronary Artery, Three Sites from Thoracic Artery with Autologous Arterial Tissue, Open Approach
Revise to:   02120AC Bypass Coronary Artery, Three Arteries from Thoracic Artery with Autologous Arterial Tissue, Open Approach
Revise from: 02120AF Bypass Coronary Artery, Three Sites from Abdominal Artery with Autologous Arterial Tissue, Open Approach
Revise to:   02120AF Bypass Coronary Artery, Three Arteries from Abdominal Artery with Autologous Arterial Tissue, Open Approach
Revise from: 02120AW Bypass Coronary Artery, Three Sites from Aorta with Autologous Arterial Tissue, Open Approach
Revise to:   02120AW Bypass Coronary Artery, Three Arteries from Aorta with Autologous Arterial Tissue, Open Approach
Revise from: 02120J3 Bypass Coronary Artery, Three Sites from Coronary Artery with Synthetic Substitute, Open Approach
Revise to:   02120J3 Bypass Coronary Artery, Three Arteries from Coronary Artery with Synthetic Substitute, Open Approach
Revise from: 02120J8 Bypass Coronary Artery, Three Sites from Right Internal Mammary with Synthetic Substitute, Open Approach
Revise to:   02120J8 Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Synthetic Substitute, Open Approach
Revise from: 02120J9 Bypass Coronary Artery, Three Sites from Left Internal Mammary with Synthetic Substitute, Open Approach
Revise to:   02120J9 Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Synthetic Substitute, Open Approach
Revise from: 02120JC Bypass Coronary Artery, Three Sites from Thoracic Artery with Synthetic Substitute, Open Approach
Revise to:   02120JC Bypass Coronary Artery, Three Arteries from Thoracic Artery with Synthetic Substitute, Open Approach
Revise from: 02120JF Bypass Coronary Artery, Three Sites from Abdominal Artery with Synthetic Substitute, Open Approach
Revise to:   02120JF Bypass Coronary Artery, Three Arteries from Abdominal Artery with Synthetic Substitute, Open Approach
Revise from: 02120JW Bypass Coronary Artery, Three Sites from Aorta with Synthetic Substitute, Open Approach
Revise to:   02120JW Bypass Coronary Artery, Three Arteries from Aorta with Synthetic Substitute, Open Approach
Revise from: 02120K3 Bypass Coronary Artery, Three Sites from Coronary Artery with Nonautologous Tissue Substitute, Open Approach
Revise to:   02120K3 Bypass Coronary Artery, Three Arteries from Coronary Artery with Nonautologous Tissue Substitute, Open Approach
Revise from: 02120K8 Bypass Coronary Artery, Three Sites from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach
Revise to:   02120K8 Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach
Revise from: 02120K9 Bypass Coronary Artery, Three Sites from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach
Revise to:   02120K9 Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach
Revise from: 02120KC Bypass Coronary Artery, Three Sites from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach
Revise to:   02120KC Bypass Coronary Artery, Three Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach
Revise from: 02120KF Bypass Coronary Artery, Three Sites from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach
Revise to:   02120KF Bypass Coronary Artery, Three Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach
Revise from: 02120KW Bypass Coronary Artery, Three Sites from Aorta with Nonautologous Tissue Substitute, Open Approach
Revise to:   02120KW Bypass Coronary Artery, Three Arteries from Aorta with Nonautologous Tissue Substitute, Open Approach
Revise from: 02120Z3 Bypass Coronary Artery, Three Sites from Coronary Artery, Open Approach
Revise to:   02120Z3 Bypass Coronary Artery, Three Arteries from Coronary Artery, Open Approach
Revise from: 02120Z8 Bypass Coronary Artery, Three Sites from Right Internal Mammary, Open Approach
Revise to:   02120Z8 Bypass Coronary Artery, Three Arteries from Right Internal Mammary, Open Approach
Revise from: 02120Z9 Bypass Coronary Artery, Three Sites from Left Internal Mammary, Open Approach
Revise to:   02120Z9 Bypass Coronary Artery, Three Arteries from Left Internal Mammary, Open Approach
Revise from: 02120ZC Bypass Coronary Artery, Three Sites from Thoracic Artery, Open Approach
Revise to:   02120ZC Bypass Coronary Artery, Three Arteries from Thoracic Artery, Open Approach
Revise from: 02120ZF Bypass Coronary Artery, Three Sites from Abdominal Artery, Open Approach
Revise to:   02120ZF Bypass Coronary Artery, Three Arteries from Abdominal Artery, Open Approach
Revise from: 0212344 Bypass Coronary Artery, Three Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   0212344 Bypass Coronary Artery, Three Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise from: 02123D4 Bypass Coronary Artery, Three Sites from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise to:   02123D4 Bypass Coronary Artery, Three Arteries from Coronary Vein with Intraluminal Device, Percutaneous Approach
Revise from: 0212444 Bypass Coronary Artery, Three Sites from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   0212444 Bypass Coronary Artery, Three Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         0212483 Bypass Coronary Artery, Three Arteries from Coronary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         0212488 Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         0212489 Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         021248C Bypass Coronary Artery, Three Arteries from Thoracic Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         021248F Bypass Coronary Artery, Three Arteries from Abdominal Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
Add:         021248W Bypass Coronary Artery, Three Arteries from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach
Revise from: 0212493 Bypass Coronary Artery, Three Sites from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   0212493 Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 0212498 Bypass Coronary Artery, Three Sites from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise to:   0212498 Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Revise from: 0212499 Bypass Coronary Artery, Three Sites from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach
